avg_key_interval,min_key_interval,max_key_interval,key_presses_count,avg_mouse_speed,min_mouse_speed,max_mouse_speed,mouse_moves_count,system_time,active_application,window_title,ip_address,public_ip,download_bytes,upload_bytes,city,country
0.1,0.1,0.1,1,6.760136853991878,0.0,30.364452901377952,97,00:40:04,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7818,2142,Zagazig,Egypt
0.1,0.1,0.1,1,6.760136853991878,0.0,30.364452901377952,97,00:40:06,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8127,12451,Unknown,Unknown
0.1,0.1,0.1,0,0,0,0,0,00:42:00,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7790,4855,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:04,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,16462,10334,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:05,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6923,2033,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:07,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,10993,11939,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:09,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,10275,1778,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:11,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7260,1978,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:13,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9273,1851,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:15,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6205,2198,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:17,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7679,2293,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:19,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7730,1985,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:21,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7276,1978,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:22,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,18111,4943,Zagazig,Egypt
